Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
China,CHN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2665282,-0.4590725,-0.5750816,-0.449434399999999,-0.5590294,-0.5305461,-0.5003284,-0.553233499999999,-0.310643499999999,-0.6176124,-0.6326472,-0.6177714,-0.5627312,-0.523856099999999,-0.5462433,-0.501441799999999,-0.203288,-0.237003599999999,-0.138588699999999,-0.302661299999999,-0.259168,-0.249058199999999
Colombia,COL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.1081402,-2.3753425,-2.33387919999999,-1.98778799999999,-1.9999771,-1.833559,-1.616164,-1.6443009,-1.56419059999999,-1.3306958,-1.1659142,-1.3314327,-1.29909379999999,-0.995331299999999,-0.9555119,-0.873548099999999,-0.779948499999999,-0.665561899999999,-0.9052968,-0.6819314,-1.0147831,-0.809182
Comoros,COM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5814672,-0.163334199999999,-0.968114799999999,-0.521609299999999,-0.6919084,-0.392569699999999,-0.996511599999999,-0.997106899999999,-0.505995699999999,-0.4825094,-0.5277008,-0.3950629,-0.2395935,-0.0153216999999999,-0.0966781999999999,-0.2599683,-0.1999982,-0.407626,-0.4550338,-0.4562829,-0.3981267,-0.374766
"Congo, Dem. Rep.",COD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.550118,-2.2607758,-2.0947308,-2.2158548,-2.074788,-2.05310459999999,-2.0273686,-1.94149549999999,-1.53122579999999,-2.0298993,-2.1644541,-2.21679669999999,-2.2257153,-2.2481931,-2.01074219999999,-2.2189353,-2.26337839999999,-1.8967124,-1.6467983,-1.80629289999999,-1.6314631,-1.8455557
"Congo, Rep.",COG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.72284099999999,-1.80875639999999,-1.2440365,-1.19743589999999,-1.26779059999999,-0.8804342,-0.8429129,-0.798681499999999,-0.381743699999999,-0.532351,-0.6251959,-0.668392299999999,-0.5775904,-0.474273699999999,-0.7582165,-0.760806,-0.7695685,-0.6896411,-0.5963817,-0.5758284,-0.517419899999999,-0.1445911
Cook Islands,COK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,..,..,..,..,..,..,..,1.6013433,1.5857688,1.5716047,1.5701095,1.5655411,1.5813217,..,..,..,0.9824054,1.1021535,1.1883308,1.2207442,1.194571
Costa Rica,CRI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6698023,0.9303167,0.6002004,0.6926827,0.8271663,0.8662239,0.8132129,0.5795087,0.7203643,0.7938234,0.6316858,0.655542,0.6591343,0.6803966,0.7458992,0.7331119,0.7405908,0.6346654,0.6261254,0.9250217,1.0171458,1.1460641
Cote d'Ivoire,CIV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.2897456,-2.2833426,-2.0672136,-2.2064965,-2.3486525,-1.90764699999999,-1.9248477,-1.8314441,-0.960599299999999,-1.84989379999999,-1.6395136,-1.5191192,-1.2086343,-1.0370019,-0.7838544,-0.8652379,-1.0411412,-0.9182691,-1.0134615,-1.16712789999999,-0.895587799999999,-0.716317499999999
Croatia,HRV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3448157,0.6641828,0.6065075,0.5895756,0.5543108,0.719055,0.777978,0.7411695,0.7434322,0.6992294,0.6832234,0.6651026,0.6983074,0.6331008,0.611397,0.6354526,0.6251591,0.7689202,0.7476171,0.6477441,0.6364386,0.7321186
Cuba,CUB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3752008,0.3966228,0.2949967,0.2992426,0.4196157,0.4911177,0.4217554,0.4445079,0.4583653,0.4544143,0.2361692,0.2398598,0.3041157,0.5757986,0.5847166,0.6142617,0.5729674,0.5676311,0.6592457,0.6687382,0.4994388,0.4974928
